date,day,start,end,duration_min,sort_order,item_order,id,parent_id,row_type,session,session_name,title,speaker,affiliation,type,room,description
,,,,,,3,,,talk,8,,Primal-Dual Polycatenanes: Modular Design and Construction of Catenated 3D Graphs Using Primal and Dual of Labeled 3-Honeycombs,"Tolga Yildiz, Vinayak Krishnamurthy and Ergun Akleman",,,,
,,,,,,4,,,talk,8,,Geometry-Aware Upcycling of Architectural Tessellations,"Sultan Aljabri, Hassan Baharami, Raphael Falque and Nico Pietroni",,,,
2026-07-08,Day 03,14:50,15:30,,6,,,,event,,,Coffee Break,,,Break,,
,,,,,,2,,,talk,9,,Implicit neural field-based process planning for multi-axis manufacturing: direct control over collision avoidance and toolpath geometry (CAD),"Neelotpal Dutta, Tianyu Zhang, Tao Liu, Yongxue Chen and Charlie C.L. Wang",,,,
,,,,,,3,,,talk,9,,Simultaneous rh-adaptive IsoGeometric Analysis using Optimal Transport and THB-Splines for gradient-dominated problems,Mustapha Bahari and Angelos Mantzaflaris,,,,
,,,,,,4,,,talk,9,,Extended r-adaptive isogeometric analysis for weak-discontinuous problems,"Jingyi Cao, Ye Ji, Matthias Möller and Chungang Zhu",,,,
2026-07-08,Day 03,16:30,16:45,,8,,,,event,,,Coffee Break,,,Break,,
2026-07-08,Day 03,16:45,18:00,,9,,,,event,,,SPM and SMI Business Meeting,,,SPM/SMI,,
2026-07-09,Day 04,9:00,10:00,,1,,,,event,,,Implicit Modeling - From Dreams to Industry and Back to Dreams,Brian Wyvill (Recipient of the 2025 Tosiyasu L. Kunii Award),,Keynote,,Keynote Talk
2026-07-09,Day 04,10:00,10:40,,2,,,,event,,,Coffee Break,,,Break,,
,,,,,,1,,,talk,10,,Data-driven Inverse Kinematics using Laban Movement Analysis,"Mehmet Akif Şahin, Sinan Sonlu and Uğur Güdükbay",,,,
,,,,,,2,,,talk,10,,When and Where to Touch: A Temporal Contact Priors for Text-Driven 3D Hand–Object Interaction,Kossi Josué Adossehoun and Hazem Wannous,,,,
,,,,,,3,,,talk,10,,VegMRFP: Mixed Radiance Field Primitives for 3D Vegetation Reconstruction,"Ning Liu, Liyuan Liu, Haoran Xie and Shaojun Hu",,,,
,,,,,,4,,,talk,10,,PSF-4D: A Progressive Sampling Framework for View-Consistent 4D Editing,"Hasan Iqbal, Nazmul Karim, Azib Farooq, Umar Khalid, Zichun Zhong, Chen Chen and Jing Hua",,,,
2026-07-09,Day 04,12:00,13:30,,4,,,,event,,,Lunch,,,Lunch,,
,,,,,,1,,,talk,11,,Topology-preserving polyhedral design using ribbon-based multi-sided patches,"Péter Salvi, Jázmin Szörfi, Márton Vaitkus and Tamás Várady",,,,
,,,,,,2,,,talk,11,,Stress-Driven and User-Guided Pythagorean-Hodograph Print-Paths for Additive Manufacturing,"Erkan Gunpinar, Serhat Cam and Kenji Shimada",,,,
,,,,,,3,,,talk,11,,An efficient T-spline surface skinning method via the inverse Bézier extraction,"Chuanzhao Li, Wei Wang, Sheng Lei, Gang Zhao and Xiaoxiao Du",,,,
